time,Profit
2020-11-09 22:50:00,1
2020-11-10 03:35:00,1
2020-11-10 06:45:00,1
2020-11-10 11:00:00,0
2020-11-10 13:15:00,1
2020-11-10 15:30:00,1
2020-11-11 04:45:00,1
2020-11-11 20:10:00,0
2020-11-11 21:25:00,1
2020-11-12 00:05:00,0
2020-11-12 11:00:00,1
2020-11-12 18:00:00,1
2020-11-13 05:10:00,0
2020-11-13 14:35:00,0
2020-11-13 20:55:00,1
2020-11-14 01:15:00,0
2020-11-14 04:50:00,1
2020-11-14 07:15:00,0
2020-11-14 09:05:00,1
2020-11-14 16:50:00,1
2020-11-15 01:10:00,1
2020-11-15 10:20:00,1
2020-11-15 16:25:00,0
2020-11-15 19:10:00,1
2020-11-15 20:30:00,1
2020-11-15 22:15:00,1
2020-11-16 21:50:00,1
2020-11-18 05:35:00,1
2020-11-20 18:35:00,1
2020-11-20 22:10:00,1
2020-11-21 03:50:00,0
2020-11-21 04:40:00,1
2020-11-21 09:35:00,0
2020-11-21 12:05:00,1
2020-11-21 19:40:00,1
2020-11-22 00:55:00,0
2020-11-22 06:25:00,0
2020-11-22 10:45:00,0
2020-11-22 23:15:00,0
2020-11-23 01:30:00,1
2020-11-23 13:20:00,1
2020-11-23 15:20:00,1
2020-11-24 20:05:00,1
2020-11-24 20:30:00,0
2020-11-25 16:25:00,0
2020-11-25 22:25:00,0
2020-11-26 02:25:00,0
2020-11-26 04:45:00,0
2020-11-26 09:30:00,1
2020-11-26 14:05:00,0
2020-11-26 17:15:00,1
2020-11-27 07:55:00,0
2020-11-27 09:50:00,1
2020-11-28 03:05:00,1
2020-11-28 08:30:00,1
2020-11-29 00:25:00,1
2020-11-29 06:15:00,1
2020-11-29 12:20:00,1
2020-11-29 16:25:00,1
2020-11-29 22:25:00,1
2020-11-30 08:10:00,1
2020-11-30 17:05:00,1
2020-12-01 04:00:00,1
2020-12-01 11:30:00,0
2020-12-13 15:15:00,1
2020-12-13 20:30:00,1
2020-12-13 22:20:00,1
2020-12-14 00:50:00,1
2020-12-14 04:20:00,1
2020-12-15 04:50:00,0
2020-12-15 09:20:00,1
2020-12-15 21:20:00,1
2020-12-17 18:00:00,0
2020-12-18 11:05:00,1
2020-12-18 13:50:00,1
2020-12-19 05:15:00,0
2020-12-20 00:10:00,0
2020-12-20 01:10:00,1
2020-12-20 02:40:00,0
2020-12-20 10:40:00,1
2020-12-20 21:15:00,0
2020-12-20 22:20:00,1
2020-12-21 06:20:00,1
2020-12-21 08:55:00,0
2020-12-21 11:35:00,1
2020-12-21 12:05:00,0
2020-12-21 12:45:00,1
2020-12-21 17:25:00,1
2020-12-23 02:10:00,0
2020-12-23 11:10:00,1
2020-12-23 21:10:00,0
2020-12-23 21:45:00,0
2020-12-24 00:20:00,1
2020-12-25 03:00:00,1
2020-12-25 14:45:00,1
2020-12-26 05:35:00,1
2020-12-26 09:30:00,1
2020-12-27 11:45:00,1
2020-12-30 08:30:00,1
2020-12-31 01:10:00,1
2020-12-31 09:15:00,1
2020-12-31 12:55:00,0
2020-12-31 14:30:00,1
2020-12-31 17:00:00,1
2020-12-31 23:45:00,1
2021-01-01 05:10:00,1
2021-01-01 15:40:00,1
2021-01-01 17:40:00,0
2021-01-01 17:50:00,1
2021-01-02 00:25:00,1
2021-01-02 20:25:00,0
2021-01-03 14:50:00,0
2021-01-03 16:55:00,1
2021-01-03 23:55:00,1
2021-01-04 05:50:00,1
2021-01-04 07:20:00,0
2021-01-04 09:15:00,0
2021-01-04 16:25:00,1
2021-01-04 21:40:00,1
2021-01-05 03:30:00,0
2021-01-05 05:00:00,0
2021-01-05 06:10:00,1
2021-01-05 14:05:00,1
2021-01-06 00:25:00,1
2021-01-06 07:50:00,1
2021-01-06 14:15:00,1
2021-01-06 20:05:00,1
2021-01-07 06:25:00,1
2021-01-07 18:45:00,1
2021-01-08 15:35:00,0
2021-01-10 18:50:00,0
2021-01-11 00:15:00,0
2021-01-11 02:20:00,0
2021-01-11 04:30:00,1
2021-01-11 06:05:00,0
2021-01-11 11:15:00,0
2021-01-11 13:20:00,0
2021-01-11 15:50:00,1
2021-01-12 01:50:00,1
2021-01-12 10:25:00,0
2021-01-12 14:15:00,1
2021-01-12 19:45:00,1
2021-01-12 22:55:00,1
2021-01-14 04:10:00,1
2021-01-14 21:15:00,1
2021-01-15 03:20:00,0
2021-01-15 05:50:00,1
2021-01-15 11:50:00,0
2021-01-15 13:20:00,0
2021-01-15 15:40:00,0
2021-01-15 18:45:00,1
2021-01-16 02:55:00,1
2021-01-16 12:30:00,0
2021-01-17 04:50:00,0
2021-01-17 06:20:00,0
2021-01-17 07:35:00,1
2021-01-17 23:55:00,0
2021-01-18 04:20:00,0
2021-01-18 04:40:00,1
2021-01-18 11:10:00,1
2021-01-18 14:35:00,1
2021-01-19 05:00:00,1
2021-01-19 10:40:00,1
2021-01-19 12:45:00,1
2021-01-19 17:30:00,0
2021-01-19 19:30:00,0
2021-01-20 02:05:00,0
2021-01-20 04:35:00,1
2021-01-20 09:40:00,0
2021-01-20 12:05:00,0
2021-01-20 15:55:00,0
2021-01-20 21:25:00,1
2021-01-21 01:45:00,0
2021-01-21 03:35:00,1
2021-01-21 05:00:00,1
2021-01-21 08:10:00,0
2021-01-21 10:00:00,0
2021-01-21 12:30:00,1
2021-01-21 14:15:00,1
2021-01-21 21:35:00,0
2021-02-03 07:55:00,0
2021-02-03 09:05:00,1
2021-02-04 03:55:00,1
2021-02-04 09:00:00,1
2021-02-06 05:15:00,1
2021-02-06 18:00:00,0
2021-02-06 20:20:00,1
2021-02-06 23:05:00,0
2021-02-07 01:55:00,1
2021-02-07 11:25:00,0
2021-02-07 13:40:00,0
2021-02-07 16:10:00,1
2021-02-07 20:05:00,1
2021-02-08 02:05:00,0
2021-02-08 17:10:00,1
2021-02-09 09:35:00,0
2021-02-09 13:30:00,0
2021-02-09 23:10:00,1
2021-02-10 01:25:00,1
2021-02-10 04:05:00,1
2021-02-10 12:05:00,0
2021-02-10 14:35:00,0
2021-02-10 16:05:00,1
2021-02-10 21:05:00,1
2021-02-11 00:10:00,1
2021-02-11 06:40:00,1
2021-02-11 17:10:00,1
2021-02-11 20:55:00,1
2021-02-12 03:20:00,0
2021-02-12 04:35:00,1
2021-02-12 14:35:00,0
2021-02-12 18:50:00,1
2021-02-12 23:35:00,1
2021-02-13 05:30:00,1
2021-02-13 07:35:00,0
2021-02-13 10:45:00,0
2021-02-13 11:00:00,1
2021-02-14 13:50:00,0
2021-02-15 02:10:00,0
2021-02-15 03:05:00,0
2021-02-15 04:15:00,1
2021-02-15 22:05:00,0
2021-02-16 06:30:00,1
2021-02-16 12:05:00,0
2021-02-16 16:30:00,1
2021-02-17 04:45:00,1
2021-02-17 13:35:00,1
2021-02-18 04:05:00,1
2021-02-18 07:05:00,0
2021-02-18 11:45:00,1
2021-02-18 22:25:00,0
2021-02-19 02:35:00,1
2021-02-19 04:45:00,1
2021-02-20 03:45:00,0
2021-02-20 09:15:00,1
2021-02-20 15:00:00,1
2021-02-20 21:15:00,0
2021-02-21 06:45:00,1
2021-02-21 07:25:00,1
2021-02-21 12:50:00,1
2021-02-21 20:55:00,0
2021-02-22 03:35:00,0
2021-02-22 09:40:00,0
2021-02-22 12:05:00,0
2021-02-22 12:45:00,0
2021-02-22 18:05:00,1
2021-02-22 23:20:00,1
2021-02-23 00:10:00,0
2021-02-23 03:35:00,1
2021-02-23 04:40:00,0
2021-02-23 08:10:00,0
2021-02-23 14:45:00,1
2021-02-23 18:15:00,1
2021-02-24 00:25:00,1
2021-02-24 13:20:00,1
2021-02-25 17:10:00,0
2021-02-25 20:10:00,0
2021-02-25 23:45:00,0
2021-03-02 02:05:00,1
2021-03-02 03:30:00,1
2021-03-02 15:20:00,0
2021-03-02 16:40:00,1
2021-03-04 00:05:00,1
2021-03-04 03:00:00,0
2021-03-04 05:30:00,0
2021-03-04 09:20:00,1
2021-03-04 17:55:00,0
2021-03-08 02:35:00,0
2021-03-08 08:00:00,1
2021-03-09 07:05:00,1
2021-03-09 12:55:00,1
2021-03-09 15:55:00,1
2021-03-10 01:50:00,0
2021-03-10 02:25:00,1
2021-03-10 20:45:00,1
2021-03-11 00:00:00,1
2021-03-11 01:00:00,1
2021-03-11 06:05:00,1
2021-03-11 08:05:00,1
2021-03-12 00:30:00,0
2021-03-12 10:25:00,1
2021-03-12 13:05:00,0
2021-03-12 19:30:00,1
2021-03-13 00:10:00,1
2021-03-14 01:10:00,0
2021-03-14 13:35:00,1
2021-03-14 15:55:00,1
2021-03-14 23:50:00,1
2021-03-15 04:55:00,0
2021-03-15 06:15:00,0
2021-03-15 08:00:00,1
2021-03-15 09:25:00,1
2021-03-18 07:25:00,0
2021-03-18 12:10:00,1
2021-03-18 18:15:00,0
2021-03-18 19:15:00,0
2021-03-18 20:20:00,1
2021-03-19 00:15:00,0
2021-03-19 08:05:00,1
2021-03-19 13:45:00,1
2021-03-19 18:20:00,1
2021-03-19 20:50:00,1
2021-03-20 16:15:00,1
2021-03-20 20:15:00,0
2021-03-21 02:05:00,0
2021-03-21 03:15:00,1
2021-03-21 04:30:00,0
2021-03-21 09:45:00,1
2021-03-21 23:15:00,0
2021-03-22 08:45:00,1
2021-03-22 12:15:00,0
2021-03-22 13:40:00,0
2021-03-22 16:35:00,1
2021-03-22 18:40:00,0
2021-03-22 19:55:00,0
2021-03-22 20:45:00,0
2021-03-30 16:00:00,1
2021-03-30 20:35:00,1
2021-03-31 03:05:00,1
2021-03-31 07:55:00,1
2021-03-31 20:00:00,1
2021-04-01 10:40:00,1
2021-04-01 16:45:00,0
2021-04-01 21:45:00,1
2021-04-02 00:05:00,1
2021-04-02 12:15:00,1
2021-04-02 16:55:00,0
2021-04-02 20:50:00,1
2021-04-03 08:45:00,0
2021-04-03 21:55:00,0
2021-04-05 01:05:00,0
2021-04-05 05:00:00,0
2021-04-05 06:20:00,1
2021-04-05 21:35:00,1
2021-04-05 23:15:00,1
2021-04-06 02:05:00,0
2021-04-06 14:10:00,0
2021-04-06 21:25:00,1
2021-04-07 00:50:00,1
2021-04-07 09:15:00,1
2021-04-07 10:55:00,0
2021-04-07 15:40:00,1
2021-04-07 17:45:00,1
2021-04-08 00:00:00,1
2021-04-09 06:10:00,1
2021-04-09 16:15:00,1
2021-04-09 22:20:00,1
2021-04-10 12:35:00,0
2021-04-10 18:10:00,0
2021-04-10 21:15:00,1
2021-04-11 04:45:00,0
2021-04-11 13:35:00,1
2021-04-12 09:40:00,0
2021-04-12 15:00:00,1
2021-04-13 18:55:00,1
2021-04-14 08:50:00,1
2021-04-14 14:10:00,0
2021-04-14 18:00:00,1
2021-04-16 01:40:00,0
2021-04-16 04:35:00,0
2021-04-16 06:05:00,1
2021-04-17 09:25:00,0
2021-04-17 11:55:00,0
2021-04-17 22:40:00,1
2021-04-17 23:30:00,0
2021-05-09 01:30:00,1
2021-05-09 04:15:00,0
2021-05-09 19:30:00,1
2021-07-26 07:40:00,1
2021-07-26 13:05:00,1
2021-07-26 20:05:00,1
2021-07-28 06:45:00,1
2021-07-28 12:45:00,0
2021-07-30 10:20:00,1
2021-07-31 04:10:00,1
2021-07-31 11:20:00,1
2021-08-01 00:00:00,1
2021-08-01 05:15:00,0
2021-08-01 22:25:00,0
2021-08-02 00:00:00,1
2021-08-02 08:30:00,0
2021-08-02 12:35:00,1
2021-08-02 19:20:00,0
2021-08-02 20:30:00,1
2021-08-03 00:05:00,1
2021-08-03 02:00:00,0
2021-08-03 12:05:00,1
2021-08-03 15:10:00,1
2021-08-04 00:15:00,1
2021-08-04 03:20:00,0
2021-08-04 04:15:00,1
2021-08-04 06:10:00,1
2021-08-04 22:50:00,0
2021-08-05 06:20:00,0
2021-08-05 07:45:00,0
2021-08-05 10:35:00,1
2021-08-05 12:30:00,0
2021-08-06 00:30:00,1
2021-08-06 22:00:00,1
2021-08-07 06:40:00,1
2021-08-07 13:05:00,1
2021-08-08 09:00:00,1
2021-08-08 10:25:00,1
2021-08-08 14:35:00,0
2021-08-08 19:15:00,1
2021-08-08 23:40:00,0
2021-08-09 20:35:00,1
2021-08-10 03:35:00,1
2021-08-10 10:35:00,1
2021-08-10 15:30:00,1
2021-08-10 23:30:00,1
2021-08-11 02:45:00,1
2021-08-11 11:50:00,1
2021-08-11 21:05:00,0
2021-08-12 04:30:00,0
2021-08-12 06:35:00,1
2021-08-12 11:45:00,0
2021-08-12 14:45:00,1
2021-08-12 22:25:00,1
2021-08-14 10:00:00,0
2021-08-17 21:10:00,1
2021-08-18 07:55:00,1
2021-08-18 11:40:00,1
2021-08-18 19:00:00,0
2021-08-18 21:20:00,1
2021-08-19 03:00:00,0
2021-08-19 04:15:00,1
2021-08-19 12:05:00,1
2021-08-20 07:55:00,1
2021-08-20 18:40:00,1
2021-08-21 03:10:00,1
2021-08-21 11:10:00,1
2021-08-21 19:20:00,0
2021-08-22 18:15:00,1
2021-08-23 14:35:00,0
2021-08-24 00:35:00,0
2021-08-24 02:00:00,0
2021-08-24 10:35:00,0
2021-08-24 15:00:00,0
2021-08-24 16:00:00,0
2021-08-24 16:50:00,1
2021-08-24 23:45:00,1
2021-08-25 07:45:00,0
2021-08-26 02:35:00,0
2021-08-26 03:10:00,0
2021-08-26 05:25:00,0
2021-08-26 12:05:00,1
2021-08-27 00:00:00,1
2021-08-27 03:20:00,1
2021-08-27 13:10:00,1
2021-08-28 06:05:00,1
2021-08-28 11:45:00,1
2021-08-28 14:10:00,1
2021-08-28 19:05:00,1
2021-08-29 02:50:00,0
2021-08-29 11:50:00,1
2021-08-29 21:50:00,1
2021-08-30 00:05:00,0
2021-08-30 04:30:00,1
2021-08-30 11:30:00,0
2021-08-30 22:25:00,0
2021-09-02 14:45:00,0
2021-09-03 18:05:00,1
2021-09-03 20:25:00,1
2021-09-04 10:50:00,0
2021-09-04 19:15:00,1
2021-09-04 23:05:00,1
2021-09-05 03:15:00,1
2021-09-06 03:45:00,1
2021-09-06 11:40:00,1
2021-09-07 07:00:00,0
2021-09-07 08:25:00,0
2021-09-07 10:20:00,1
2021-09-07 12:30:00,0
2021-09-07 18:20:00,1
2021-10-02 00:15:00,1
2021-10-02 16:15:00,1
2021-10-02 23:30:00,0
2021-10-03 01:25:00,1
2021-10-03 09:05:00,1
2021-10-03 15:45:00,1
2021-10-03 20:35:00,0
2021-10-04 02:30:00,0
2021-10-04 03:05:00,1
2021-10-04 04:05:00,1
2021-10-04 08:45:00,1
2021-10-04 14:55:00,1
2021-10-04 21:40:00,1
2021-10-05 14:40:00,1
2021-10-06 01:10:00,1
2021-10-06 08:10:00,0
2021-10-07 00:35:00,0
2021-10-07 12:30:00,1
2021-10-07 14:40:00,1
2021-10-07 22:20:00,1
2021-10-08 12:15:00,0
2021-10-08 13:40:00,1
2021-10-09 08:40:00,1
2021-10-09 16:45:00,1
2021-10-09 20:00:00,1
2021-10-10 01:10:00,1
2021-10-10 09:15:00,1
2021-10-10 21:05:00,1
2021-10-11 11:00:00,1
2021-10-11 20:05:00,0
2021-10-12 15:00:00,0
2021-10-13 04:40:00,0
2021-10-13 06:45:00,0
2021-10-13 09:05:00,1
2021-10-13 14:05:00,1
2021-10-14 04:40:00,0
2021-10-14 07:55:00,1
2021-10-14 15:10:00,1
2021-10-14 18:30:00,0
2021-10-14 23:25:00,0
2021-10-15 08:30:00,1
